,image_name,xcoord,ycoord
0,SWC0001,130.06462314285713,983.1068551428573
1,SWC0001,40.31412378833333,1021.5963846666668
2,SWC0001,46.41105821333334,735.9400227777778
3,SWC0001,33.08115959333333,1027.5011188333335
4,SWC0001,453.50100489285717,2976.340698214285
5,SWC0001,427.80639429285714,2781.509556428572
6,SWC0001,595.3890947571429,2847.0604684285713
7,SWC0001,688.4057664153847,2896.070303230769
8,SWC0001,802.9019862499999,2871.6500332142855
9,SWC0001,1187.8764085384614,3162.088087692308
10,SWC0001,1122.3578068461538,3126.7775596153847
11,SWC0001,758.3914576928571,2422.1609890000004
12,SWC0001,1196.879432076923,2539.4042454615383
13,SWC0001,2698.2174682222226,1228.3120252222222
14,SWC0001,3184.636978,197.14589882500002
15,SWC0001,2538.6206411666662,2698.7607726666665
16,SWC0001,3317.045465454545,4110.851151818182
17,SWC0001,3184.9725675454542,4362.386186090909
18,SWC0001,3227.0042235,4380.1605101000005
19,SWC0001,3222.3813233,4415.932849
20,SWC0001,3271.89756775,4422.445053125
21,SWC0001,3267.616960714285,4429.383841571428
22,SWC0001,3937.899509818182,3419.576643545455
23,SWC0001,5725.5772628333325,1740.2092393333335
24,SWC0002,974.11849977,40.30639925
25,SWC0002,305.5294316583333,208.39667636666664
26,SWC0002,390.06598577777777,408.5845303
27,SWC0002,385.13071899999994,899.39374999
28,SWC0002,1037.1595458888887,717.5189073222223
29,SWC0002,1218.743988125,841.4754867250001
30,SWC0002,1450.5635742,747.3423950200001
31,SWC0002,1221.578415,1012.08190925
32,SWC0002,949.6224278142857,961.2294573
33,SWC0002,334.97584915,319.708698275
34,SWC0002,140.06216867142857,785.2264840142858
35,SWC0002,499.9059414333334,2015.6693081111111
36,SWC0002,877.1293792666665,2041.9611588333335
37,SWC0002,836.1252441222223,1995.8169352222221
38,SWC0002,484.1409234,2042.6855401111109
39,SWC0002,639.8062811888889,2156.383331333333
40,SWC0002,757.9468723000001,2163.3049723333334
41,SWC0002,841.64154815,2166.0905
42,SWC0002,677.0798110875,2348.7618105
43,SWC0002,1057.5415650999998,1862.1115097999998
44,SWC0002,980.3770480555554,1890.042751888889
45,SWC0002,1129.7049695555556,1896.0091265555554
46,SWC0002,1098.0829607692308,1994.0452646923077
47,SWC0002,1001.0742249900001,2038.4839846
48,SWC0002,1109.705607111111,2059.9126112222225
49,SWC0002,958.7423539727274,2131.6336198181816
50,SWC0002,1525.473197,2307.467477142857
51,SWC0002,1504.1967251428573,2394.592303
52,SWC0002,1084.7624513076921,2398.6658324615387
53,SWC0002,1029.2495554285713,2452.1977540000003
54,SWC0002,1111.7635090833335,2438.637146083333
55,SWC0002,1179.1098457142855,2509.4227731428577
56,SWC0002,1185.9746469230772,2600.122286307693
57,SWC0002,1326.4771458888888,2563.600239888889
58,SWC0002,1402.5736695,2593.1185456250005
59,SWC0002,1380.9282790769232,2645.522831846154
60,SWC0002,1221.1565308000002,2691.0425293999997
61,SWC0002,1216.3440077777777,2710.2525772222225
62,SWC0002,1015.9375664545456,2694.6061234545455
63,SWC0002,1081.531522307692,2696.5336350769235
64,SWC0002,1103.9488858181817,2746.139992454546
65,SWC0002,1202.3021523076923,2841.799222461539
66,SWC0002,897.736965588889,2935.9312202222227
67,SWC0002,863.6758422833333,2986.5572916666665
68,SWC0002,860.99477539,3055.6580566
69,SWC0002,824.9922818272727,3093.714633
70,SWC0002,838.5217759777778,3173.606201111111
71,SWC0002,973.6930067222222,3187.888522888889
72,SWC0002,1061.9105572857145,3038.9779140714286
73,SWC0002,1106.5010812857142,3035.9023958571424
74,SWC0002,1333.8290405,3071.367533666667
75,SWC0002,1265.3237762499998,3264.749359125
76,SWC0002,1322.3830391428571,3246.798950142857
77,SWC0002,1415.1634347142858,3151.8816092857146
78,SWC0002,1466.5548365555558,2969.4326172222222
79,SWC0002,265.84826964,2513.0107483
80,SWC0002,526.1644758636363,2717.1206387272728
81,SWC0002,526.38733825,2682.9992067
82,SWC0002,391.17647805,2864.4509275833334
83,SWC0002,406.91290283,2907.9074707
84,SWC0002,510.41663358750003,2871.940170125
85,SWC0002,403.78322346666664,2941.0093384166667
86,SWC0002,336.30316397692303,3037.2923114615387
87,SWC0002,262.1541345727273,3163.448797
88,SWC0002,138.47512230769232,3099.146005384616
89,SWC0002,33.913913012500004,2670.8106231250003
90,SWC0002,1831.8665074285714,2074.2541374285715
91,SWC0002,1708.503732142857,2200.894723142857
92,SWC0002,1761.1460470833333,2236.5349783333336
93,SWC0002,1799.849395625,1768.754921125
94,SWC0002,1801.3363038333334,1785.8346838333334
95,SWC0002,57.50360870428572,2666.548313714286
96,SWC0002,641.2176242555556,2274.3277045555556
97,SWC0002,699.9254499142857,2129.993800571429
98,SWC0002,409.1052788555555,1942.486274
99,SWC0002,1008.4655274200001,2150.2954071999998
100,SWC0002,696.5210571285714,2144.2871531428573
101,SWC0002,648.0552597000001,2178.2363968749996
102,SWC0002,830.3256022166667,3264.828552166667
103,SWC0002,861.2835257285715,2983.696533
104,SWC0002,270.4363861,3148.705647833334
105,SWC0002,374.75738143750004,2537.986396875
106,SWC0002,1269.8701986666667,2521.5729371666666
107,SWC0002,210.67860527692307,4092.1897443076928
108,SWC0002,269.25354005,3971.1741945
109,SWC0002,26.543617963166668,3591.1465455000002
110,SWC0002,449.54359218571426,3324.191275571429
111,SWC0002,367.066879275,3473.4743450833334
112,SWC0002,466.7511378714285,3480.4030085714285
113,SWC0002,672.4869588166666,3291.9355808333335
114,SWC0002,782.9190741777778,3481.514221222222
115,SWC0002,693.5050252166667,3739.356237
116,SWC0002,622.3593468307693,4025.606999461539
117,SWC0002,643.8339320714284,4224.537113785714
118,SWC0002,728.6283569357144,4307.183048857142
119,SWC0002,766.4782215454546,4114.218561545455
120,SWC0002,887.9744873083333,4240.149907416667
121,SWC0002,948.7928641285714,4224.625828571428
122,SWC0002,943.868386009091,4036.105363363637
123,SWC0002,858.2502644833334,3981.266621666666
124,SWC0002,886.7300747909089,3932.4933750909095
125,SWC0002,788.4132385166666,4017.9790649999995
126,SWC0002,798.7224953454545,4478.567815545454
127,SWC0002,701.2969098928571,4497.5561609999995
128,SWC0002,866.6024509333333,4720.416354666666
129,SWC0002,736.6756931111111,4864.516330333333
130,SWC0002,923.5720519999999,4702.6930298
131,SWC0002,948.6224060142857,4552.142691357143
132,SWC0002,1127.99155675,4415.284627333333
133,SWC0002,1215.13208,4295.168345166666
134,SWC0002,1281.5005405714285,4295.166756642857
135,SWC0002,1282.1475080000002,4349.334237923077
136,SWC0002,1285.6345475714286,4442.146710999999
137,SWC0002,1448.754206846154,4337.698232846153
138,SWC0002,1787.0500394615385,4197.711439923077
139,SWC0002,1372.6027308571427,4243.431387714286
140,SWC0002,1352.6017979285714,4195.620217428572
141,SWC0002,1318.666519125,3926.612625125
142,SWC0002,1333.5542211818183,3839.321610818182
143,SWC0002,1576.066447,3849.6321206666667
144,SWC0002,1255.3523647142858,3669.794817428571
145,SWC0002,1013.6450091666667,3702.51139575
146,SWC0002,992.3300084,3638.542066428571
147,SWC0002,1304.1749166666666,3391.1232089999994
148,SWC0002,55.162384578571434,4251.391270285714
149,SWC0002,166.48636626666666,4179.196380666667
150,SWC0002,1204.8622872857143,4356.869559142857
151,SWC0002,1559.0091115714283,3741.9591957857147
152,SWC0002,1611.2497963333335,3591.964803166666
153,SWC0002,1592.591624,3659.567481916667
154,SWC0002,1666.2112630000001,3730.7163084999997
155,SWC0002,1582.047973625,3846.201095625
156,SWC0002,1773.985779,4322.208511375
157,SWC0002,1647.2372070999998,4277.077673500001
